"CustomerID","Title","CreditCardType","Occupation","Gender","Age","Location","MotorInsurance","MotorValue","MotorType","HealthInsurance","HealthType","HealthDependentsAdults","HealthDependentsKids","TravelInsurance","TravelType","PrefChannel","CardHolder","Married","AgeBuckets","MotorValueBuckets","MotorFlag","MotorLevel","HealthFlag","HealthLevel","TravelFlag","TravelLevel","Instances","customerValue","SalaryIndicator","FamilyIndicator","cluster"
33,"Ms.","Visa","Health engineer","female",72,"Urban","Yes",26761,"Bundle","Yes","Level3","1","0","Yes","Standard","Phone","Yes","No",">50","medium",1,2,1,3,1,2,3,7,"high","nuclear family",3
35,"Mr.","AMEX","Tank car truck and ship loader","male",21,"Urban","Yes",28470,"Bundle","No","0","No HI","No HI","Yes","Premium","Email","Yes","No","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
36,"Ms.","AMEX",NA,"female",19,"Urban","Yes",19247,"Bundle","No","0","No HI","No HI","Yes","Premium","Email","Yes","No","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
37,"Mr.","Visa","Airport service agent","male",19,"Urban","Yes",4975,"Single","No","0","No HI","No HI","No","0","SMS","Yes","No","<=35","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",2
38,"Mr.","Visa",NA,"male",69,"Rural","No",NA,"No MotorInsurance","No","0","No HI","No HI","Yes","Senior","Phone","Yes","No",">50","0",0,0,0,0,1,2,1,2,"low","No Health Insurance",1
39,"Ms.","Visa",NA,"female",47,"Rural","Yes",36703,"Bundle","Yes","Level2","1","2","No","0","Email","Yes","No","36-50","high",1,3,1,2,0,0,2,5,"med","Big family",3
40,"Mr.","AMEX","News correspondent","male",48,"Urban","Yes",33385,"Single","Yes","Level2","0","2","Yes","Business","SMS","Yes","Yes","36-50","high",1,3,1,2,1,3,3,8,"high","nuclear family",3
41,"Mrs.","No Card","Procurement clerk","female",47,"Rural","No",NA,"No MotorInsurance","Yes","Level2","1","2","Yes","Standard","Email","No","Yes","36-50","0",0,0,1,2,1,2,2,4,"med","Big family",1
42,"Dr.","AMEX","Soil scientist","female",48,"Urban","Yes",35352,"Bundle","Yes","Level2","1","3","No","0","Email","Yes","Yes","36-50","high",1,3,1,2,0,0,2,5,"med","Big family",3
43,"Mr.","No Card","Television camera operator","male",53,"Urban","Yes",32558,"Single","Yes","Level2","1","2","No","0","Email","No","Yes",">50","high",1,3,1,2,0,0,2,5,"med","Big family",3
44,"Mrs.","Visa",NA,"female",47,"Rural","Yes",20835,"Single","Yes","Level3","1","2","No","0","Phone","Yes","Yes","36-50","medium",1,2,1,3,0,0,2,5,"med","Big family",1
45,"Mr.","Visa","Information clerk","male",46,"Urban","Yes",33452,"Single","Yes","Level2","1","2","Yes","Premium","Phone","Yes","Yes","36-50","high",1,3,1,2,1,3,3,8,"high","Big family",3
48,"Ms.","No Card",NA,"female",73,"Urban","Yes",24604,"Single","Yes","Level2","0","0","Yes","Senior","Phone","No","No",">50","medium",1,2,1,2,1,2,3,6,"med","single",3
49,"Mrs.","No Card","Social work planner","female",49,"Urban","Yes",36038,"Single","No","0","No HI","No HI","Yes","Senior","Email","No","Yes","36-50","high",1,3,0,0,1,2,2,5,"med","No Health Insurance",3
50,"Ms.","Visa","Bench carpenter","female",46,"Rural","No",NA,"No MotorInsurance","No","0","No HI","No HI","No","0","Email","Yes","No","36-50","0",0,0,0,0,0,0,0,0,"noClue","No Health Insurance",1
51,"Mr.","Visa","Nuclear medicine technologist","male",23,"Urban","No",NA,"No MotorInsurance","No","0","No HI","No HI","Yes","Backpacker","Email","Yes","No","<=35","0",0,0,0,0,1,1,1,1,"low","No Health Insurance",2
54,"Mrs.","AMEX",NA,"female",18,"Urban","Yes",5263,"Single","No","0","No HI","No HI","Yes","Standard","Email","Yes","Yes","<=35","low",1,1,0,0,1,2,2,3,"low","No Health Insurance",2
55,"Mr.","Visa","Material moving occupation","male",45,"Rural","Yes",12413,"Single","Yes","Level2","2","3","No","0","SMS","Yes","Yes","36-50","low",1,1,1,2,0,0,2,3,"low","Big family",1
57,"Mr.","Visa","Knitting machine operator","male",73,"Urban","Yes",18352,"Single","No","0","No HI","No HI","Yes","Senior","Phone","Yes","No",">50","medium",1,2,0,0,1,2,2,4,"med","No Health Insurance",1
59,"Mr.","Visa","PBX installer","male",47,"Urban","Yes",37974,"Single","Yes","Level1","2","2","Yes","Standard","Email","Yes","Yes","36-50","high",1,3,1,1,1,2,3,6,"med","Big family",3
60,"Ms.","Visa","Petroleum pump system operator","female",46,"Urban","No",NA,"No MotorInsurance","Yes","Level2","1","2","No","0","Email","Yes","No","36-50","0",0,0,1,2,0,0,1,2,"low","Big family",1
62,"Mrs.","AMEX",NA,"female",48,"Urban","Yes",35594,"Single","Yes","Level2","1","2","No","0","Phone","Yes","Yes","36-50","high",1,3,1,2,0,0,2,5,"med","Big family",3
63,"Ms.","No Card","Offset lithographic press operator","female",47,"Urban","Yes",34231,"Single","Yes","Level3","1","2","No","0","Email","No","No","36-50","high",1,3,1,3,0,0,2,6,"med","Big family",3
65,"Mr.","AMEX",NA,"male",47,"Rural","No",NA,"No MotorInsurance","No","0","No HI","No HI","No","0","Phone","Yes","No","36-50","0",0,0,0,0,0,0,0,0,"noClue","No Health Insurance",1
66,"Ms.","AMEX","Hand packer","female",20,"Rural","Yes",23131,"Bundle","Yes","Level1","0","0","No","0","SMS","Yes","No","<=35","medium",1,2,1,1,0,0,2,3,"low","single",2
67,"Ms.","AMEX",NA,"female",66,"Urban","No",NA,"No MotorInsurance","Yes","Level2","1","0","Yes","Senior","Phone","Yes","No",">50","0",0,0,1,2,1,2,2,4,"med","nuclear family",1
68,"Mr.","Visa",NA,"male",44,"Urban","Yes",37611,"Bundle","No","0","No HI","No HI","Yes","Business","Email","Yes","No","36-50","high",1,3,0,0,1,3,2,6,"med","No Health Insurance",3
69,"Mrs.","Visa","Private household cook","female",73,"Urban","Yes",33564,"Single","Yes","Level3","1","0","Yes","Senior","Phone","Yes","Yes",">50","high",1,3,1,3,1,2,3,8,"high","nuclear family",3
70,"Ms.","AMEX",NA,"female",49,"Rural","No",NA,"No MotorInsurance","Yes","Level2","1","2","No","0","Email","Yes","No","36-50","0",0,0,1,2,0,0,1,2,"low","Big family",1
71,"Ms.","Visa","Computer support specialist","female",47,"Urban","Yes",33780,"Single","Yes","Level2","2","3","Yes","Standard","Phone","Yes","No","36-50","high",1,3,1,2,1,2,3,7,"high","Big family",3
72,"Mrs.","No Card",NA,"female",22,"Urban","No",NA,"No MotorInsurance","Yes","Level1","0","0","Yes","Backpacker","SMS","No","Yes","<=35","0",0,0,1,1,1,1,2,2,"low","single",2
73,"Mr.","AMEX","Library media assistant","male",20,"Urban","Yes",4975,"Bundle","No","0","No HI","No HI","Yes","Backpacker","SMS","Yes","No","<=35","low",1,1,0,0,1,1,2,2,"low","No Health Insurance",2
74,"Ms.","Visa",NA,"female",65,"Urban","Yes",26924,"Single","Yes","Level3","1","0","No","0","Phone","Yes","No",">50","medium",1,2,1,3,0,0,2,5,"med","nuclear family",3
77,"Ms.","No Card","Hardware engineer","female",52,"Rural","Yes",15917,"Single","No","0","No HI","No HI","No","0","Phone","No","No",">50","medium",1,2,0,0,0,0,1,2,"low","No Health Insurance",1
78,"Ms.","AMEX","Acoustical carpenter","female",18,"Urban","Yes",4975,"Bundle","No","0","No HI","No HI","Yes","Backpacker","Email","Yes","No","<=35","low",1,1,0,0,1,1,2,2,"low","No Health Insurance",2
79,"Mrs.","Visa",NA,"female",18,"Urban","No",NA,"No MotorInsurance","No","0","No HI","No HI","Yes","Backpacker","SMS","Yes","Yes","<=35","0",0,0,0,0,1,1,1,1,"low","No Health Insurance",2
81,"Mr.","No Card",NA,"male",18,"Rural","Yes",20410,"Bundle","Yes","Level1","0","0","No","0","Email","No","No","<=35","medium",1,2,1,1,0,0,2,3,"low","single",2
82,"Ms.","AMEX","Groundskeeper","female",49,"Rural","Yes",13579,"Single","Yes","Level1","2","2","No","0","Email","Yes","No","36-50","low",1,1,1,1,0,0,2,2,"low","Big family",1
83,"Mr.","AMEX","Wildlife biologist","male",45,"Rural","Yes",11690,"Single","Yes","Level3","1","3","No","0","SMS","Yes","Yes","36-50","low",1,1,1,3,0,0,2,4,"med","Big family",1
84,"Mrs.","No Card","Amusement machine repairer","female",44,"Urban","Yes",5322,"Bundle","No","0","No HI","No HI","Yes","Premium","SMS","No","Yes","36-50","low",1,1,0,0,1,3,2,4,"med","No Health Insurance",1
85,"Mr.","Visa","Diagnostic medical sonographer","male",54,"Rural","Yes",9901,"Single","No","0","No HI","No HI","No","0","Phone","Yes","No",">50","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",1
86,"Mrs.","Visa","Fire dispatcher","female",69,"Rural","No",NA,"No MotorInsurance","Yes","Level3","2","0","No","0","Phone","Yes","Yes",">50","0",0,0,1,3,0,0,1,3,"low","nuclear family",1
87,"Mrs.","AMEX","Promotions manager","female",18,"Urban","Yes",27940,"Bundle","No","0","No HI","No HI","Yes","Business","Email","Yes","Yes","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
88,"Mrs.","AMEX","Nephrology nurse","female",48,"Rural","Yes",17992,"Single","Yes","Level3","1","3","No","0","Phone","Yes","Yes","36-50","medium",1,2,1,3,0,0,2,5,"med","Big family",1
89,"Ms.","AMEX","Meeting and convention planner","female",46,"Rural","Yes",15243,"Bundle","No","0","No HI","No HI","No","0","Phone","Yes","No","36-50","medium",1,2,0,0,0,0,1,2,"low","No Health Insurance",1
90,"Mr.","No Card",NA,"male",49,"Urban","Yes",26710,"Single","Yes","Level3","1","2","Yes","Premium","Phone","No","Yes","36-50","medium",1,2,1,3,1,3,3,8,"high","Big family",3
91,"Mr.","AMEX",NA,"male",19,"Rural","Yes",21666,"Bundle","No","0","No HI","No HI","Yes","Business","SMS","Yes","No","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
92,"Mrs.","Visa","Paleontologist","female",22,"Urban","Yes",4975,"Bundle","Yes","Level1","0","0","Yes","Backpacker","SMS","Yes","Yes","<=35","low",1,1,1,1,1,1,3,3,"low","single",2
93,"Mr.","Visa","Nurse","male",43,"Urban","Yes",38256,"Single","Yes","Level1","1","2","No","0","Email","Yes","Yes","36-50","high",1,3,1,1,0,0,2,4,"med","Big family",3
94,"Mr.","Visa","Mixing and blending machine tender","male",21,"Rural","Yes",5337,"Bundle","No","0","No HI","No HI","Yes","Premium","SMS","Yes","No","<=35","low",1,1,0,0,1,3,2,4,"med","No Health Insurance",2
95,"Mr.","Visa","Structural metal fabricator","male",20,"Urban","Yes",4975,"Bundle","No","0","No HI","No HI","Yes","Standard","SMS","Yes","No","<=35","low",1,1,0,0,1,2,2,3,"low","No Health Insurance",2
96,"Mr.","Visa","Mason","male",47,"Urban","Yes",34422,"Single","Yes","Level2","0","2","No","0","Email","Yes","Yes","36-50","high",1,3,1,2,0,0,2,5,"med","nuclear family",3
97,"Ms.","Visa","Human resources coordinator","female",21,"Rural","Yes",5048,"Single","No","0","No HI","No HI","No","0","Email","Yes","No","<=35","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",2
99,"Ms.","Visa","Communications specialist","female",49,"Rural","Yes",7981,"Single","Yes","Level1","0","3","No","0","Email","Yes","No","36-50","low",1,1,1,1,0,0,2,2,"low","Big family",1
100,"Mrs.","AMEX",NA,"female",19,"Rural","No",NA,"No MotorInsurance","Yes","Level2","1","0","Yes","Business","Email","Yes","Yes","<=35","0",0,0,1,2,1,3,2,5,"med","nuclear family",2
101,"Mr.","Visa","Sports book runner","male",46,"Urban","No",NA,"No MotorInsurance","Yes","Level2","2","3","No","0","Email","Yes","Yes","36-50","0",0,0,1,2,0,0,1,2,"low","Big family",1
102,"Ms.","Visa",NA,"female",46,"Rural","Yes",29988,"Single","Yes","Level1","1","3","Yes","Premium","Phone","Yes","No","36-50","medium",1,2,1,1,1,3,3,6,"med","Big family",3
104,"Mr.","No Card",NA,"male",19,"Urban","Yes",27966,"Bundle","Yes","Level1","0","0","Yes","Premium","SMS","No","No","<=35","medium",1,2,1,1,1,3,3,6,"med","single",2
105,"Mrs.","Visa","Enrichment education instructor","female",20,"Urban","Yes",29526,"Bundle","Yes","Level1","1","0","Yes","Premium","SMS","Yes","Yes","<=35","medium",1,2,1,1,1,3,3,6,"med","nuclear family",2
106,"Mrs.","Visa",NA,"female",47,"Rural","Yes",31643,"Single","Yes","Level3","0","2","Yes","Premium","Email","Yes","Yes","36-50","medium",1,2,1,3,1,3,3,8,"high","nuclear family",3
107,"Mrs.","Visa",NA,"female",49,"Rural","No",NA,"No MotorInsurance","Yes","Level1","1","3","Yes","Standard","Email","Yes","Yes","36-50","0",0,0,1,1,1,2,2,3,"low","Big family",1
108,"Ms.","AMEX","Welding machine operator","female",19,"Urban","No",NA,"No MotorInsurance","No","0","No HI","No HI","Yes","Standard","Email","Yes","No","<=35","0",0,0,0,0,1,2,1,2,"low","No Health Insurance",2
109,"Mr.","Visa","Vending machine technician","male",51,"Urban","Yes",35930,"Single","Yes","Level2","1","3","No","0","Phone","Yes","Yes",">50","high",1,3,1,2,0,0,2,5,"med","Big family",3
110,"Mrs.","No Card","Police officer","female",47,"Rural","No",NA,"No MotorInsurance","Yes","Level2","0","3","No","0","SMS","No","Yes","36-50","0",0,0,1,2,0,0,1,2,"low","Big family",1
111,"Mr.","No Card",NA,"male",72,"Rural","Yes",31263,"Single","Yes","Level2","1","0","Yes","Senior","Email","No","No",">50","medium",1,2,1,2,1,2,3,6,"med","nuclear family",3
112,"Mrs.","AMEX","Personal appearance worker","female",47,"Urban","No",NA,"No MotorInsurance","No","0","No HI","No HI","No","0","Email","Yes","Yes","36-50","0",0,0,0,0,0,0,0,0,"noClue","No Health Insurance",1
113,"Ms.","No Card",NA,"female",47,"Urban","Yes",36073,"Single","Yes","Level1","1","2","No","0","Phone","No","No","36-50","high",1,3,1,1,0,0,2,4,"med","Big family",3
114,"Mr.","Visa","Help-desk technician","male",20,"Urban","Yes",4975,"Bundle","No","0","No HI","No HI","Yes","Premium","SMS","Yes","No","<=35","low",1,1,0,0,1,3,2,4,"med","No Health Insurance",2
117,"Mr.","No Card","Microeconomist","male",49,"Rural","Yes",10549,"Single","No","0","No HI","No HI","No","0","Email","No","No","36-50","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",1
119,"Dr.","No Card",NA,"male",50,"Urban","Yes",28528,"Single","Yes","Level2","1","3","No","0","Email","No","Yes","36-50","medium",1,2,1,2,0,0,2,4,"med","Big family",3
121,"Ms.","AMEX",NA,"female",50,"Urban","Yes",16689,"Single","Yes","Level1","2","2","Yes","Backpacker","Phone","Yes","No","36-50","medium",1,2,1,1,1,1,3,4,"med","Big family",1
122,"Mr.","AMEX","Housing manager","male",46,"Urban","Yes",38256,"Single","Yes","Level3","1","2","Yes","Business","Email","Yes","Yes","36-50","high",1,3,1,3,1,3,3,9,"high","Big family",3
123,"Mr.","AMEX","High school counselor","male",20,"Urban","Yes",4975,"Bundle","No","0","No HI","No HI","Yes","Standard","Phone","Yes","No","<=35","low",1,1,0,0,1,2,2,3,"low","No Health Insurance",2
125,"Mrs.","AMEX","Radiation protection technician","female",19,"Urban","Yes",25211,"Single","No","0","No HI","No HI","Yes","Business","Email","Yes","Yes","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
126,"Mrs.","Visa","Plating and coating machine setter","female",19,"Rural","Yes",30826,"Bundle","No","0","No HI","No HI","Yes","Business","Email","Yes","Yes","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
127,"Ms.","AMEX",NA,"female",49,"Rural","Yes",10336,"Single","Yes","Level1","1","2","No","0","Email","Yes","No","36-50","low",1,1,1,1,0,0,2,2,"low","Big family",1
128,"Mrs.","AMEX","Tower controller","female",63,"Urban","Yes",28849,"Bundle","Yes","Level2","1","0","Yes","Business","Phone","Yes","Yes",">50","medium",1,2,1,2,1,3,3,7,"high","nuclear family",3
129,"Mr.","Visa","Structural and reinforcing iron and metal worker","male",20,"Rural","Yes",27795,"Bundle","No","0","No HI","No HI","No","0","Email","Yes","No","<=35","medium",1,2,0,0,0,0,1,2,"low","No Health Insurance",2
130,"Mr.","Visa",NA,"male",20,"Urban","No",NA,"No MotorInsurance","Yes","Level1","0","0","Yes","Premium","Email","Yes","No","<=35","0",0,0,1,1,1,3,2,4,"med","single",2
131,"Mr.","AMEX",NA,"male",42,"Rural","Yes",16085,"Single","Yes","Level1","2","2","No","0","Phone","Yes","Yes","36-50","medium",1,2,1,1,0,0,2,3,"low","Big family",1
132,"Ms.","Visa",NA,"female",48,"Rural","No",NA,"No MotorInsurance","Yes","Level3","1","3","No","0","Phone","Yes","No","36-50","0",0,0,1,3,0,0,1,3,"low","Big family",1
133,"Mr.","Visa","Postal Service worker","male",55,"Urban","Yes",30724,"Single","Yes","Level2","1","3","No","0","Phone","Yes","Yes",">50","medium",1,2,1,2,0,0,2,4,"med","Big family",3
135,"Mrs.","Visa",NA,"female",47,"Rural","Yes",6336,"Single","No","0","No HI","No HI","No","0","Phone","Yes","Yes","36-50","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",1
136,"Mr.","Visa","Data entry clerk","male",51,"Urban","Yes",36802,"Single","Yes","Level3","2","3","No","0","Email","Yes","Yes",">50","high",1,3,1,3,0,0,2,6,"med","Big family",3
137,"Ms.","Visa",NA,"female",48,"Urban","Yes",18400,"Single","Yes","Level1","2","3","No","0","SMS","Yes","No","36-50","medium",1,2,1,1,0,0,2,3,"low","Big family",1
138,"Mr.","Visa",NA,"male",46,"Urban","Yes",33577,"Single","Yes","Level2","1","2","No","0","Email","Yes","Yes","36-50","high",1,3,1,2,0,0,2,5,"med","Big family",3
141,"Ms.","Visa","Promotions specialist","female",20,"Urban","Yes",17089,"Bundle","Yes","Level1","0","0","Yes","Standard","Email","Yes","No","<=35","medium",1,2,1,1,1,2,3,5,"med","single",2
142,"Ms.","No Card",NA,"female",18,"Rural","Yes",22963,"Single","Yes","Level2","1","0","Yes","Business","Email","No","No","<=35","medium",1,2,1,2,1,3,3,7,"high","nuclear family",2
143,"Mrs.","Visa",NA,"female",50,"Rural","Yes",14186,"Single","Yes","Level1","1","2","No","0","Phone","Yes","Yes","36-50","low",1,1,1,1,0,0,2,2,"low","Big family",1
144,"Mr.","Visa","Timekeeping clerk","male",45,"Urban","Yes",29157,"Single","Yes","Level2","1","3","Yes","Premium","Phone","Yes","Yes","36-50","medium",1,2,1,2,1,3,3,7,"high","Big family",3
145,"Mrs.","AMEX","IT manager","female",51,"Urban","Yes",34571,"Single","Yes","Level2","2","2","No","0","Email","Yes","Yes",">50","high",1,3,1,2,0,0,2,5,"med","Big family",3
149,"Mr.","No Card","Broadcast and sound engineering technician","male",22,"Urban","Yes",5117,"Bundle","No","0","No HI","No HI","No","0","SMS","No","No","<=35","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",2
151,"Mr.","No Card","FBI agent","male",18,"Urban","Yes",22590,"Bundle","No","0","No HI","No HI","Yes","Business","Email","No","No","<=35","medium",1,2,0,0,1,3,2,5,"med","No Health Insurance",2
152,"Mr.","AMEX",NA,"male",45,"Urban","Yes",34961,"Single","Yes","Level1","0","2","No","0","Phone","Yes","Yes","36-50","high",1,3,1,1,0,0,2,4,"med","nuclear family",3
153,"Ms.","Visa","Telephone line installer","female",22,"Urban","Yes",4975,"Bundle","No","0","No HI","No HI","Yes","Backpacker","SMS","Yes","No","<=35","low",1,1,0,0,1,1,2,2,"low","No Health Insurance",2
154,"Mr.","Visa","Handymen","male",51,"Rural","No",NA,"No MotorInsurance","No","0","No HI","No HI","No","0","Phone","Yes","No",">50","0",0,0,0,0,0,0,0,0,"noClue","No Health Insurance",1
155,"Mr.","AMEX","Training manager","male",50,"Urban","Yes",28531,"Single","No","0","No HI","No HI","Yes","Senior","Phone","Yes","No","36-50","medium",1,2,0,0,1,2,2,4,"med","No Health Insurance",3
156,"Mr.","AMEX","Technical training coordinator","male",44,"Rural","Yes",14324,"Single","No","0","No HI","No HI","Yes","Standard","Phone","Yes","No","36-50","low",1,1,0,0,1,2,2,3,"low","No Health Insurance",1
158,"Ms.","Visa",NA,"female",24,"Rural","Yes",27416,"Bundle","Yes","Level1","1","0","Yes","Premium","Email","Yes","No","<=35","medium",1,2,1,1,1,3,3,6,"med","nuclear family",2
159,"Mrs.","Visa","Winch operator","female",65,"Rural","No",NA,"No MotorInsurance","Yes","Level2","1","0","No","0","Phone","Yes","Yes",">50","0",0,0,1,2,0,0,1,2,"low","nuclear family",1
160,"Mr.","AMEX","Gaming surveillance officer","male",46,"Rural","Yes",20416,"Single","Yes","Level2","0","2","Yes","Backpacker","Phone","Yes","Yes","36-50","medium",1,2,1,2,1,1,3,5,"med","nuclear family",1
161,"Mrs.","AMEX","Edition binding worker","female",20,"Urban","Yes",5007,"Bundle","No","0","No HI","No HI","Yes","Premium","Email","Yes","Yes","<=35","low",1,1,0,0,1,3,2,4,"med","No Health Insurance",2
162,"Mr.","Visa",NA,"male",47,"Rural","Yes",10832,"Single","No","0","No HI","No HI","No","0","Email","Yes","No","36-50","low",1,1,0,0,0,0,1,1,"low","No Health Insurance",1
165,"Mr.","AMEX","Administrative assistant for human resource","male",45,"Urban","Yes",28258,"Single","Yes","Level3","1","2","Yes","Business","Email","Yes","Yes","36-50","medium",1,2,1,3,1,3,3,8,"high","Big family",3
167,"Mr.","Visa",NA,"male",20,"Urban","No",NA,"No MotorInsurance","No","0","No HI","No HI","Yes","Backpacker","SMS","Yes","No","<=35","0",0,0,0,0,1,1,1,1,"low","No Health Insurance",2
168,"Ms.","Visa",NA,"female",24,"Rural","Yes",26934,"Bundle","No","0","No HI","No HI","No","0","SMS","Yes","No","<=35","medium",1,2,0,0,0,0,1,2,"low","No Health Insurance",2
169,"Ms.","AMEX","Labor training manager","female",47,"Urban","Yes",31963,"Single","Yes","Level3","0","3","Yes","Business","Email","Yes","No","36-50","medium",1,2,1,3,1,3,3,8,"high","Big family",3
170,"Ms.","AMEX","Pediatric nurse","female",45,"Urban","Yes",30911,"Bundle","Yes","Level3","0","2","Yes","Business","Phone","Yes","No","36-50","medium",1,2,1,3,1,3,3,8,"high","nuclear family",3
171,"Mrs.","AMEX",NA,"female",60,"Rural","Yes",18248,"Single","No","0","No HI","No HI","Yes","Senior","Phone","Yes","Yes",">50","medium",1,2,0,0,1,2,2,4,"med","No Health Insurance",1
175,"Mr.","Visa",NA,"male",50,"Rural","Yes",16352,"Single","Yes","Level2","1","2","No","0","Phone","Yes","Yes","36-50","medium",1,2,1,2,0,0,2,4,"med","Big family",1
