CustomerID,Title,CreditCardType,Occupation,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType,CardHolder,Married,AgeBuckets,MotorValueBuckets,MotorFlag,MotorLevel,HealthFlag,HealthLevel,TravelFlag,TravelLevel,Instances,customerValue,SalaryIndicator,FamilyIndicator,cluster,PrefChannel,Group
4300,Mr.,AMEX,Clinical laboratory scientist,male,49,Urban,Yes,37430,Single,No,0,No HI,No HI,No,0,Yes,No,36-50,high,1,3,0,0,0,0,1,3,low,No Health Insurance,Titan Customers,Email,control
1930,Ms.,AMEX,Homemaker,female,47,Urban,Yes,38180.4,Single,No,0,No HI,No HI,Yes,Backpacker,Yes,No,36-50,high,1,3,0,0,1,1,2,4,med,No Health Insurance,Titan Customers,Email,control
5078,Mr.,AMEX,Automotive body repairer,male,47,Urban,Yes,23904,Single,No,0,No HI,No HI,Yes,Standard,Yes,No,36-50,medium,1,2,0,0,1,2,2,4,med,No Health Insurance,Titan Customers,Email,control
1747,Mr.,AMEX,Research dietitian,male,48,Urban,Yes,30486,Single,Yes,Level3,1,2,Yes,Business,Yes,Yes,36-50,medium,1,2,1,3,1,3,3,8,high,Big family,Titan Customers,Email,control
4882,Mrs.,No Card,Microbiology technologist,female,45,Urban,Yes,34497,Single,Yes,Level1,1,3,No,0,No,Yes,36-50,high,1,3,1,1,0,0,2,4,med,Big family,Titan Customers,Email,control
3301,Dr.,Visa,Medical records and health information technician,male,50,Urban,Yes,28230,Single,Yes,Level1,1,3,No,0,Yes,Yes,36-50,medium,1,2,1,1,0,0,2,3,low,Big family,Titan Customers,Email,control
2554,Mrs.,AMEX,Purchasing technician,female,49,Urban,Yes,19063,Single,Yes,Level3,0,3,No,0,Yes,Yes,36-50,medium,1,2,1,3,0,0,2,5,med,Big family,Titan Customers,Email,control
4407,Mr.,AMEX,Technologist,male,43,Urban,Yes,34876,Single,No,0,No HI,No HI,No,0,Yes,No,36-50,high,1,3,0,0,0,0,1,3,low,No Health Insurance,Titan Customers,Email,control
1497,Mr.,Visa,Literary interpreter,male,51,Rural,Yes,36953,Single,No,0,No HI,No HI,Yes,Standard,Yes,No,>50,high,1,3,0,0,1,2,2,5,med,No Health Insurance,Titan Customers,Email,control
287,Mrs.,AMEX,Arbitrator,female,49,Rural,Yes,36052,Single,Yes,Level2,1,2,Yes,Standard,Yes,Yes,36-50,high,1,3,1,2,1,2,3,7,high,Big family,Titan Customers,Email,control
4007,Ms.,Visa,Record clerk,female,45,Urban,Yes,29196,Single,No,0,No HI,No HI,No,0,Yes,No,36-50,medium,1,2,0,0,0,0,1,2,low,No Health Insurance,Titan Customers,Email,control
530,Mr.,AMEX,Budget officer,male,47,Urban,Yes,37271,Single,Yes,Level2,1,3,Yes,Business,Yes,Yes,36-50,high,1,3,1,2,1,3,3,8,high,Big family,Titan Customers,Email,control
3875,Mr.,No Card,Private household cook,male,50,Urban,Yes,32892,Single,Yes,Level3,1,2,No,0,No,Yes,36-50,high,1,3,1,3,0,0,2,6,med,Big family,Titan Customers,Email,control
3783,Mr.,Visa,Fish and game warden,male,48,Urban,Yes,19307,Single,Yes,Level2,0,3,No,0,Yes,Yes,36-50,medium,1,2,1,2,0,0,2,4,med,Big family,Titan Customers,Email,control
4042,Mrs.,Visa,Personal chef,female,56,Urban,Yes,15522,Single,Yes,Level2,1,3,No,0,Yes,Yes,>50,medium,1,2,1,2,0,0,2,4,med,Big family,Titan Customers,Phone,control
456,Ms.,AMEX,NA,female,50,Urban,Yes,33191,Single,Yes,Level1,0,2,Yes,Backpacker,Yes,No,36-50,high,1,3,1,1,1,1,3,5,med,nuclear family,Titan Customers,Email,control
52,Mr.,Visa,Organizational economist,male,49,Urban,Yes,35555,Single,Yes,Level1,1,3,Yes,Business,Yes,Yes,36-50,high,1,3,1,1,1,3,3,7,high,Big family,Titan Customers,Email,control
3,Mr.,AMEX,Biophysicist,male,52,Urban,Yes,17274,Single,No,0,No HI,No HI,No,0,Yes,No,>50,medium,1,2,0,0,0,0,1,2,low,No Health Insurance,Titan Customers,Email,test
6,Mr.,AMEX,Stevedore,male,49,Rural,Yes,11735,Single,Yes,Level1,2,3,Yes,Business,Yes,Yes,36-50,low,1,1,1,1,1,3,3,5,med,Big family,Ready Rurals,Phone,test
7,Dr.,AMEX,NA,female,18,Urban,Yes,5005.8,Bundle,No,0,No HI,No HI,Yes,Backpacker,Yes,No,<=35,low,1,1,0,0,1,1,2,2,low,No Health Insurance,Millineum Potentials,SMS,test
8,Ms.,AMEX,NA,female,48,Urban,Yes,13879,Single,Yes,Level1,1,3,No,0,Yes,No,36-50,low,1,1,1,1,0,0,2,2,low,Big family,Ready Rurals,Phone,test
9,Mr.,No Card,NA,male,49,Rural,Yes,17294,Single,Yes,Level2,1,3,Yes,Standard,No,Yes,36-50,medium,1,2,1,2,1,2,3,6,med,Big family,Ready Rurals,Phone,test
10,Dr.,AMEX,Physical therapist,female,20,Urban,Yes,5005.8,Single,No,0,No HI,No HI,Yes,Premium,Yes,No,<=35,low,1,1,0,0,1,3,2,4,med,No Health Insurance,Millineum Potentials,SMS,test
12,Mr.,Visa,Sampler,male,48,Urban,No,NA,No MotorInsurance,No,0,No HI,No HI,Yes,Business,Yes,No,36-50,0,0,0,0,0,1,3,1,3,low,No Health Insurance,Ready Rurals,Email,test
15,Mr.,AMEX,Principal secretary,male,52,Urban,No,NA,No MotorInsurance,Yes,Level2,2,2,Yes,Standard,Yes,Yes,>50,0,0,0,1,2,1,2,2,4,med,Big family,Ready Rurals,Phone,test
25,Ms.,AMEX,NA,female,20,Urban,Yes,5228,Bundle,No,0,No HI,No HI,Yes,Premium,Yes,No,<=35,low,1,1,0,0,1,3,2,4,med,No Health Insurance,Millineum Potentials,SMS,test
34,Mr.,AMEX,Multiple machine tool tender,male,47,Rural,Yes,32809,Single,Yes,Level2,2,2,Yes,Standard,Yes,Yes,36-50,high,1,3,1,2,1,2,3,7,high,Big family,Titan Customers,Email,test
46,Mr.,Visa,Pointer,male,56,Rural,Yes,16342,Single,Yes,Level1,0,2,No,0,Yes,Yes,>50,medium,1,2,1,1,0,0,2,3,low,nuclear family,Ready Rurals,Phone,test
47,Mr.,AMEX,Clerical specialist,male,19,Urban,Yes,5005.8,Bundle,No,0,No HI,No HI,Yes,Standard,Yes,No,<=35,low,1,1,0,0,1,2,2,3,low,No Health Insurance,Millineum Potentials,SMS,test
53,Ms.,AMEX,NA,female,18,Urban,Yes,29236,Bundle,No,0,No HI,No HI,No,0,Yes,No,<=35,medium,1,2,0,0,0,0,1,2,low,No Health Insurance,Millineum Potentials,Email,test
58,Ms.,No Card,Range manager,female,52,Rural,Yes,10882,Single,No,0,No HI,No HI,Yes,Backpacker,No,No,>50,low,1,1,0,0,1,1,2,2,low,No Health Insurance,Ready Rurals,Phone,test
61,Mr.,Visa,Placement counselor,male,20,Rural,Yes,30069,Bundle,No,0,No HI,No HI,Yes,Business,Yes,No,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,test
64,Mr.,Visa,NA,male,21,Urban,Yes,19593,Bundle,No,0,No HI,No HI,No,0,Yes,No,<=35,medium,1,2,0,0,0,0,1,2,low,No Health Insurance,Millineum Potentials,Email,test
75,Ms.,Visa,Procurement technician,female,55,Urban,Yes,34548,Single,No,0,No HI,No HI,Yes,Premium,Yes,No,>50,high,1,3,0,0,1,3,2,6,med,No Health Insurance,Titan Customers,Email,test
76,Ms.,Visa,NA,female,44,Urban,Yes,33979,Single,No,0,No HI,No HI,No,0,Yes,No,36-50,high,1,3,0,0,0,0,1,3,low,No Health Insurance,Titan Customers,Email,test
80,Mr.,No Card,NA,male,18,Rural,Yes,23717,Bundle,No,0,No HI,No HI,Yes,Premium,No,No,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,test
98,Mrs.,AMEX,Apparel worker,female,49,Urban,Yes,32615,Bundle,Yes,Level2,1,2,No,0,Yes,Yes,36-50,high,1,3,1,2,0,0,2,5,med,Big family,Titan Customers,Email,test
103,Ms.,AMEX,Construction inspector,female,47,Urban,Yes,34443,Single,Yes,Level1,1,2,Yes,Standard,Yes,No,36-50,high,1,3,1,1,1,2,3,6,med,Big family,Titan Customers,Email,test
115,Mr.,No Card,Choreographer,male,22,Urban,Yes,5005.8,Bundle,Yes,Level1,0,0,Yes,Premium,No,No,<=35,low,1,1,1,1,1,3,3,5,med,single,Millineum Potentials,SMS,test
116,Dr.,AMEX,NA,female,47,Urban,Yes,32265,Single,Yes,Level2,1,2,Yes,Business,Yes,Yes,36-50,high,1,3,1,2,1,3,3,8,high,Big family,Titan Customers,Email,test
118,Mr.,AMEX,Support staff clerk,male,49,Rural,No,NA,No MotorInsurance,No,0,No HI,No HI,No,0,Yes,No,36-50,0,0,0,0,0,0,0,0,0,noClue,No Health Insurance,Ready Rurals,Phone,test
120,Mrs.,Visa,Singer,female,20,Rural,Yes,28611,Bundle,Yes,Level1,1,0,Yes,Business,Yes,Yes,<=35,medium,1,2,1,1,1,3,3,6,med,nuclear family,Millineum Potentials,Email,test
134,Ms.,AMEX,NA,female,21,Urban,Yes,38049,Bundle,No,0,No HI,No HI,Yes,Business,Yes,No,<=35,high,1,3,0,0,1,3,2,6,med,No Health Insurance,Millineum Potentials,Email,test
139,Mr.,Visa,Forest fire prevention specialist,male,50,Rural,No,NA,No MotorInsurance,No,0,No HI,No HI,No,0,Yes,No,36-50,0,0,0,0,0,0,0,0,0,noClue,No Health Insurance,Ready Rurals,Phone,test
140,Dr.,AMEX,Pediatrician,female,50,Rural,Yes,11777,Single,Yes,Level1,1,2,No,0,Yes,Yes,36-50,low,1,1,1,1,0,0,2,2,low,Big family,Ready Rurals,Phone,test
147,Ms.,AMEX,NA,female,45,Urban,Yes,31407,Single,Yes,Level3,1,2,No,0,Yes,No,36-50,medium,1,2,1,3,0,0,2,5,med,Big family,Titan Customers,Email,test
148,Mrs.,Visa,Apartment leasing agent,female,18,Urban,Yes,5005.8,Single,No,0,No HI,No HI,No,0,Yes,Yes,<=35,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Millineum Potentials,SMS,test
150,Ms.,AMEX,Linguistic anthropologist,female,21,Urban,Yes,5113,Bundle,No,0,No HI,No HI,No,0,Yes,No,<=35,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Millineum Potentials,SMS,test
157,Mrs.,AMEX,NA,female,49,Rural,Yes,11582,Single,No,0,No HI,No HI,Yes,Standard,Yes,Yes,36-50,low,1,1,0,0,1,2,2,3,low,No Health Insurance,Ready Rurals,Phone,test
163,Mr.,Visa,NA,male,51,Urban,Yes,11952,Single,Yes,Level2,1,3,No,0,Yes,Yes,>50,low,1,1,1,2,0,0,2,3,low,Big family,Ready Rurals,Phone,test
164,Ms.,No Card,Municipal court judge,female,51,Urban,Yes,12244,Single,Yes,Level1,1,3,Yes,Standard,No,No,>50,low,1,1,1,1,1,2,3,4,med,Big family,Ready Rurals,Phone,test
166,Mr.,AMEX,NA,male,19,Rural,No,NA,No MotorInsurance,No,0,No HI,No HI,Yes,Backpacker,Yes,No,<=35,0,0,0,0,0,1,1,1,1,low,No Health Insurance,Millineum Potentials,SMS,test
172,Mrs.,AMEX,NA,female,48,Urban,Yes,12672,Single,No,0,No HI,No HI,No,0,Yes,Yes,36-50,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Ready Rurals,Phone,test
173,Mr.,AMEX,Nephrology nurse,male,20,Urban,No,NA,No MotorInsurance,No,0,No HI,No HI,No,0,Yes,No,<=35,0,0,0,0,0,0,0,0,0,noClue,No Health Insurance,Millineum Potentials,SMS,test
174,Dr.,Visa,Training specialist,male,44,Urban,Yes,24569,Single,Yes,Level2,1,3,Yes,Business,Yes,Yes,36-50,medium,1,2,1,2,1,3,3,7,high,Big family,Titan Customers,Email,test
179,Mr.,No Card,Industrial designer,male,47,Urban,Yes,38180.4,Single,Yes,Level3,1,3,No,0,No,Yes,36-50,high,1,3,1,3,0,0,2,6,med,Big family,Titan Customers,Email,test
183,Mrs.,AMEX,NA,female,18,Urban,Yes,29502,Bundle,Yes,Level1,0,0,Yes,Backpacker,Yes,Yes,<=35,medium,1,2,1,1,1,1,3,4,med,single,Millineum Potentials,Email,test
186,Mrs.,AMEX,Electronics technician,female,49,Rural,Yes,15104,Single,No,0,No HI,No HI,No,0,Yes,Yes,36-50,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Ready Rurals,Phone,test
188,Mrs.,No Card,Dot etcher,female,22,Rural,Yes,25991,Bundle,No,0,No HI,No HI,Yes,Standard,No,Yes,<=35,medium,1,2,0,0,1,2,2,4,med,No Health Insurance,Millineum Potentials,Email,test
191,Mrs.,Visa,Small engine service technician,female,19,Urban,Yes,5005.8,Bundle,No,0,No HI,No HI,No,0,Yes,Yes,<=35,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Millineum Potentials,SMS,test
192,Ms.,AMEX,Clerical supervisor,female,50,Urban,No,NA,No MotorInsurance,Yes,Level3,1,2,No,0,Yes,No,36-50,0,0,0,1,3,0,0,1,3,low,Big family,Ready Rurals,Phone,test
195,Ms.,No Card,Dinkey operator,female,46,Rural,Yes,17668,Single,Yes,Level2,1,2,No,0,No,No,36-50,medium,1,2,1,2,0,0,2,4,med,Big family,Ready Rurals,Phone,test
196,Mrs.,Visa,NA,female,21,Rural,No,NA,No MotorInsurance,Yes,Level1,0,0,Yes,Business,Yes,Yes,<=35,0,0,0,1,1,1,3,2,4,med,single,Millineum Potentials,Email,test
198,Mr.,AMEX,Employee development manager,male,48,Rural,Yes,17543,Single,Yes,Level2,1,3,No,0,Yes,Yes,36-50,medium,1,2,1,2,0,0,2,4,med,Big family,Ready Rurals,Phone,test
204,Mrs.,AMEX,NA,female,49,Rural,Yes,16634,Single,Yes,Level1,1,2,No,0,Yes,Yes,36-50,medium,1,2,1,1,0,0,2,3,low,Big family,Ready Rurals,Phone,test
205,Mr.,AMEX,Coin vending and amusement machine servicer,male,42,Rural,Yes,28102,Single,No,0,No HI,No HI,No,0,Yes,No,36-50,medium,1,2,0,0,0,0,1,2,low,No Health Insurance,Ready Rurals,Phone,test
206,Mr.,Visa,NA,male,18,Urban,No,NA,No MotorInsurance,No,0,No HI,No HI,Yes,Backpacker,Yes,No,<=35,0,0,0,0,0,1,1,1,1,low,No Health Insurance,Millineum Potentials,SMS,test
208,Mr.,Visa,Bench technician,male,52,Rural,Yes,19088,Single,Yes,Level2,2,3,No,0,Yes,Yes,>50,medium,1,2,1,2,0,0,2,4,med,Big family,Ready Rurals,Phone,test
209,Mr.,No Card,NA,male,51,Rural,Yes,35308,Bundle,Yes,Level2,1,2,No,0,No,Yes,>50,high,1,3,1,2,0,0,2,5,med,Big family,Titan Customers,Email,test
212,Mr.,Visa,Signal and track switch repairer,male,22,Urban,No,NA,No MotorInsurance,Yes,Level3,0,0,Yes,Backpacker,Yes,No,<=35,0,0,0,1,3,1,1,2,4,med,single,Millineum Potentials,SMS,test
215,Mr.,Visa,Rooms manager,male,20,Rural,Yes,28514,Bundle,Yes,Level1,0,0,Yes,Standard,Yes,No,<=35,medium,1,2,1,1,1,2,3,5,med,single,Millineum Potentials,Email,test
220,Mr.,AMEX,Corporate office services manager,male,24,Urban,Yes,5005.8,Bundle,No,0,No HI,No HI,No,0,Yes,No,<=35,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Millineum Potentials,SMS,test
223,Ms.,Visa,Information systems manager,female,64,Urban,Yes,25398,Bundle,Yes,Level3,0,0,Yes,Senior,Yes,No,>50,medium,1,2,1,3,1,2,3,7,high,single,Titan Customers,Phone,test
225,Ms.,AMEX,Shipping-and-receiving supervisor,female,46,Urban,Yes,34369,Single,Yes,Level1,0,2,No,0,Yes,No,36-50,high,1,3,1,1,0,0,2,4,med,nuclear family,Titan Customers,Email,test
234,Mr.,Visa,Marketing research analyst,male,51,Urban,Yes,11896,Single,Yes,Level2,1,2,No,0,Yes,Yes,>50,low,1,1,1,2,0,0,2,3,low,Big family,Ready Rurals,Phone,test
239,Mrs.,No Card,Rental manager,female,50,Urban,Yes,35482,Single,Yes,Level2,1,3,Yes,Business,No,Yes,36-50,high,1,3,1,2,1,3,3,8,high,Big family,Titan Customers,Email,test
241,Mr.,AMEX,Gas and water service dispatcher,male,47,Rural,Yes,13122,Single,Yes,Level2,1,3,Yes,Standard,Yes,Yes,36-50,low,1,1,1,2,1,2,3,5,med,Big family,Ready Rurals,Phone,test
245,Mrs.,AMEX,Dispensing optician,female,51,Rural,Yes,15717,Single,Yes,Level2,0,2,No,0,Yes,Yes,>50,medium,1,2,1,2,0,0,2,4,med,nuclear family,Ready Rurals,Phone,test
251,Ms.,Visa,Service technician,female,48,Rural,Yes,20489,Single,Yes,Level3,1,2,No,0,Yes,No,36-50,medium,1,2,1,3,0,0,2,5,med,Big family,Ready Rurals,Phone,test
253,Ms.,AMEX,Loss prevention agent,female,55,Rural,Yes,13965,Single,No,0,No HI,No HI,No,0,Yes,No,>50,low,1,1,0,0,0,0,1,1,low,No Health Insurance,Ready Rurals,Phone,test
261,Dr.,No Card,Mason,male,24,Urban,Yes,24890,Bundle,No,0,No HI,No HI,Yes,Business,No,No,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,test
265,Mrs.,No Card,National account executive,female,49,Rural,No,NA,No MotorInsurance,Yes,Level2,1,2,Yes,Standard,No,Yes,36-50,0,0,0,1,2,1,2,2,4,med,Big family,Ready Rurals,Phone,test
272,Mr.,Visa,NA,male,49,Urban,Yes,33303,Single,Yes,Level3,2,2,Yes,Business,Yes,Yes,36-50,high,1,3,1,3,1,3,3,9,high,Big family,Titan Customers,Email,test
274,Mrs.,Visa,DJ,female,45,Rural,Yes,30486,Single,Yes,Level3,0,2,Yes,Business,Yes,Yes,36-50,medium,1,2,1,3,1,3,3,8,high,nuclear family,Titan Customers,Email,test
279,Mrs.,No Card,Pesticide handler,female,21,Rural,Yes,23360,Bundle,No,0,No HI,No HI,Yes,Premium,No,Yes,<=35,medium,1,2,0,0,1,3,2,5,med,No Health Insurance,Millineum Potentials,Email,test
284,Mr.,No Card,Secretarial assistant,male,47,Urban,Yes,35360,Single,No,0,No HI,No HI,No,0,No,No,36-50,high,1,3,0,0,0,0,1,3,low,No Health Insurance,Titan Customers,Email,test
298,Mr.,No Card,Electrical and electronics installer,male,47,Rural,Yes,8560,Single,No,0,No HI,No HI,Yes,Standard,No,No,36-50,low,1,1,0,0,1,2,2,3,low,No Health Insurance,Ready Rurals,Phone,test
300,Mr.,No Card,Blaster,male,22,Rural,Yes,5037,Bundle,No,0,No HI,No HI,Yes,Premium,No,No,<=35,low,1,1,0,0,1,3,2,4,med,No Health Insurance,Millineum Potentials,SMS,test
312,Mrs.,No Card,Homemaker,female,64,Rural,No,NA,No MotorInsurance,Yes,Level3,1,0,No,0,No,Yes,>50,0,0,0,1,3,0,0,1,3,low,nuclear family,Ready Rurals,Phone,test
